Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
21631258,16,161,14.032991,3.156073,11472.963960427252,51012.76174537154,4.4463455059499575
21631269,16,147,10.92663,2.424345,13453.370343829709,60634.93438433886,4.507044170693527
21631299,16,69,2.742195,2.732028,25162.32434236077,25255.963701689732,1.003721411347175
21631322,16,182,12.230214,3.061541,14881.178694011405,59447.18689052343,3.994790205324704
21631328,16,162,19.658256,4.936258,8240.812409808885,32818.38185929504,3.982420691949246
21631329,16,133,10.921244,2.979874,12178.099857488762,44632.759640172706,3.665001943035175
21631341,16,116,11.507913,3.594104,10080.020591048959,32275.081633697853,3.2018864785214896
21631361,16,251,23.816902,4.759755,10538.734214886555,52733.80667702434,5.0038083892973475
21631375,16,215,22.640516,6.36678,9496.24999712904,33769.03238371672,3.5560386883165434
21631381,16,213,16.511389,3.048805,12900.186652982375,69863.43829795608,5.415692049835919
21631391,16,110,10.638167,2.792619,10340.127204244867,39389.54794764341,3.809387173832162
21631395,16,162,13.88029,3.252901,11671.225889372628,49801.70008248022,4.267049627394132
21631399,16,157,12.443009,2.412212,12617.526837760866,65085.48999839152,5.15833973133373
21631403,16,226,23.950774,6.463612,9436.02073152208,34964.97005080131,3.705478299130579
21631405,16,141,10.779986,2.461841,13079.794352237564,57274.210641548336,4.378831126786823
21631421,16,148,16.301062,5.660152,9079.163063118218,26147.707694068995,2.8799689478303767
21631449,16,204,17.751861,3.984476,11491.752892837545,51198.702163094975,4.455256098919909
21631466,16,172,16.298407,3.89488,10553.178602056016,44160.53896397321,4.1845723103150805
21631489,16,190,18.023474,5.481606,10541.807866785282,34661.37478687815,3.2879915119765997
21631499,16,148,17.954591,3.376711,8243.017064549118,43829.63185182268,5.317183199865195
21631525,16,239,23.364995,4.211029,10228.977151503777,56755.72407599188,5.5485238881043095
21631533,16,178,12.757642,3.232156,13952.42161521698,55071.59926686707,3.9470997068210822
21631557,16,302,31.594265,9.045898,9558.696807790906,33385.29795494046,3.4926620883852553
21631611,16,160,12.188251,5.848685,13127.39621131859,27356.576734770297,2.0839301484008796
21631640,16,133,11.835152,3.653236,11237.709494563313,36406.07943204326,3.2396352165586895
21631654,16,217,15.683951,3.540718,13835.79941049293,61287.00450021719,4.429596200544635
21631655,16,158,12.121495,3.552947,13034.695802786702,44470.12578572098,3.41167346431005
21631662,16,254,10.084904,2.706998,25186.159431958895,93830.87833829208,3.7254937018793512
21631673,16,175,11.777465,2.676455,14858.885167563649,65384.99619832951,4.400397167148336
21631707,16,188,14.149749,3.350068,13286.454763261172,56118.26386807671,4.2237199364311415
21631778,16,212,15.863331,4.514436,13364.154098530755,46960.46194917815,3.513912036852444
21631794,16,320,20.063696,5.141564,15949.204972005158,62237.87158926739,3.9022554226690556
21631795,16,188,14.094162,4.05579,13338.856187405821,46353.484771154326,3.4750719341977767
21631798,16,221,15.466528,4.578631,14288.921211017754,48267.7027259895,3.377980885552909
21631857,16,308,21.84039,7.435123,14102.312275559183,41425.00399791638,2.9374618281365352
21631902,16,116,10.529412,3.795429,11016.759530351743,30563.07995749624,2.774235007426038
21631908,16,205,21.311599,4.346383,9619.174985415219,47165.65475246889,4.903295222717372
21631918,16,108,7.915452,1.809316,13644.198714110073,59691.06557395171,4.374831151661733
21631922,16,158,20.564826,6.310382,7683.02148532645,25038.10387390177,3.2588876552956703
21631924,16,163,16.089648,6.269625,10130.737477911262,25998.365133480875,2.566285543393744
21631925,16,148,11.992526,3.746718,12341.019731789616,39501.23815029581,3.2008082807406373
21631937,16,154,13.488249,4.827372,11417.345572431233,31901.415511379684,2.794118414739945
21631938,16,289,21.01326,4.481235,13753.220585477933,64491.15031905267,4.689167160392168
21631940,16,156,12.392021,2.468004,12588.745613003723,63208.97372937806,5.021070063095522
21631971,16,134,8.122949,2.163464,16496.471909401374,61937.7073064308,3.7546032658736177
21631983,16,101,12.098973,7.89996,8347.815967520548,12784.874860125876,1.53152332416873
21631986,16,191,14.695938,2.695036,12996.788636424568,70871.03845737125,5.452965377827977
21632006,16,280,31.022329,9.23634,9025.756899167694,30315.03820777494,3.358725317604159
21632017,16,55,5.279462,1.780029,10417.728170029448,30898.373004035326,2.9659415661205517
21632033,16,178,19.513431,6.318668,9121.922228848427,28170.49416111117,3.088219067689583
21632051,16,139,11.020782,2.512528,12612.535117743913,55322.76655225335,4.386332013016372
21632053,16,107,20.820733,9.439822,5139.108214874087,11334.959493939612,2.2056277120479604
21632055,16,65,3.358912,3.351841,19351.504296629384,19392.327977371242,1.0021095869404306
21632080,16,173,11.582382,3.021257,14936.47852402036,57260.93476986566,3.8336301744604984
21632090,16,166,15.020597,2.831575,11051.491495311404,58624.61704175238,5.30467919797286
21632179,16,227,27.084587,4.412719,8381.150504528645,51442.20604121858,6.13784539645511
21632191,16,63,9.596363,8.008706,6564.987172744507,7866.439347380213,1.198241388808629
21632210,16,208,29.331911,9.481037,7091.252936094072,21938.528454218667,3.0937450196639884
21632220,16,173,20.272185,9.703817,8533.86055819834,17828.03612228054,2.0890939101592703
